id,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,label,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,now_timegap
85,79,58,58.4,05_23_03:00:37,0,-366.06888,86.831635,10.706547,23.266691,5.2721853,8.295123,3.6169028,-1.2234926,-3.6083422,5.1789684,-1.7862251,9.461903,0.52067673,2.6
86,82,61,30,05_23_03:00:37,0,-406.41125,99.356995,10.088036,23.496712,2.0384574,9.1186695,9.8412075,10.860073,-0.48054826,3.8455052,-4.604705,1.824574,-5.6433372,2.7
87,85,63,57.3,05_23_03:00:37,0,-374.9723,94.84059,27.23771,22.12935,-2.7205136,6.293983,4.698797,0.9153631,-9.615349,0.22310114,-11.375191,-5.2285023,-3.2898612,2.8
88,88,66,66.6,05_23_03:00:37,0,-385.75134,92.40046,9.498594,22.283493,4.2454214,8.160671,2.1780312,7.0084076,-6.895487,2.5510497,-1.8970168,-0.81050384,-4.1745415,2.9
89,91,68,78.3,05_23_03:00:37,0,-375.2405,94.393295,4.7341747,23.59792,3.808454,-2.7188244,2.5117254,7.1092825,-2.0143182,1.9786118,-3.7728267,0.14129841,-9.217917,3
90,94,71,68.1,05_23_03:00:37,0,-418.10968,92.186066,17.455822,26.463223,5.6965523,3.7378378,-1.650943,16.663393,4.5855346,11.174477,0.53885573,-2.0559754,-16.929596,3.1
91,97,73,56.8,05_23_03:00:37,0,-428.62003,103.4854,8.470446,23.332102,2.1696615,1.6917877,1.3715707,15.580139,1.0755308,6.237714,0.31063384,-1.8518693,-9.309066,3.2
92,100,76,81.6,05_23_03:00:37,0,-337.69913,91.21093,8.660209,29.240692,10.344405,7.296807,-7.423823,-2.7237654,-13.2605,1.1142057,-3.9068673,-1.3565671,-7.0601215,3.3
93,103,78,65.5,05_23_03:00:37,0,-350.77078,83.046814,2.2380598,17.362717,7.897204,6.7071886,-6.992851,-4.1174555,-7.6426735,4.6194053,-4.1079955,3.7017095,-11.984003,3.4
94,106,81,79.5,05_23_03:00:37,0,-366.30307,85.7903,3.908418,17.092659,-1.2998216,4.428815,-7.2573004,-3.3172448,-10.151858,0.07816607,2.1752775,-0.044881582,-15.756659,3.5
95,109,83,29.7,05_23_03:00:37,0,-375.7253,84.52405,5.791844,15.40804,3.3446913,9.076845,0.11153996,-8.179228,-1.9047055,9.745799,7.34963,3.797465,-10.293655,3.6
96,112,86,48.6,05_23_03:00:37,0,-393.5088,87.1718,5.3752894,22.140656,4.119706,0.68809974,-1.1510243,0.29021478,-3.5332963,13.151036,7.0716043,0.6013748,-9.064955,3.7
97,115,88,15.9,05_23_03:00:37,0,-320.74753,75.12744,13.849751,26.015984,12.637491,8.4968,-5.670233,0.03594953,-4.773941,8.339157,2.1893299,3.3867636,-9.705044,3.8
98,118,91,30.6,05_23_03:00:37,0,-379.88348,86.37196,14.973422,24.938541,4.2680054,-2.3805096,-2.3186266,3.9639292,-0.2907639,12.124403,9.3736,4.54142,-9.268865,3.9
99,121,93,44.5,05_23_03:00:37,0,-340.48462,79.17493,-0.12255341,19.851063,1.9589021,11.083426,1.482336,3.37639,-0.079520635,11.313543,-4.0060415,11.208875,-7.6756997,4
100,124,96,48.2,05_23_03:00:37,0,-340.9833,76.71807,1.8713413,26.457333,6.976763,7.324869,1.6310997,2.492882,-2.858934,12.515396,-0.24483651,10.156153,-3.285718,4.1
101,127,98,61,05_23_03:00:37,0,-389.9913,91.25615,9.993851,22.323872,11.857329,2.2187285,8.319467,2.8243966,0.10787612,8.145494,-1.4629513,-2.7109659,-13.661356,4.2
102,130,101,75.4,05_23_03:00:37,0,-388.4015,101.18889,12.274125,33.809242,11.676752,7.5865946,-0.12674165,0.5698471,-7.3065615,6.1111183,1.4947523,-0.5158104,-11.81241,4.3
103,133,103,51.8,05_23_03:00:37,0,-378.91998,87.12538,14.649866,24.61516,9.631897,5.6758833,2.1195228,-3.6770823,-2.2089934,14.053289,-1.1444383,1.4273939,-8.554102,4.4
104,136,106,50.6,05_23_03:00:37,0,-408.0902,105.11746,9.421249,31.041225,11.638247,7.4689503,3.6235085,5.466948,-5.8885937,9.465487,7.7032595,0.24113843,-17.174633,4.5
105,139,108,28.5,05_23_03:00:37,0,-393.537,98.39725,12.6486635,28.854462,7.20966,0.7787072,0.6783642,6.5573606,-6.541338,8.826105,0.8428932,0.8145642,-11.509962,4.6
